activity,happiness_score,meaning_score,stress_score,tired_score,sad_score,category,duration_min_avg,pct_population_daily,icon
Morning coffee/tea,4.8,3.2,1.4,2.8,0.8,Rituals,22,78,☕
Playing with children,5.8,6.2,2.1,3.2,0.5,Connection,48,32,👶
Prayer or meditation,5.4,6.5,0.9,1.5,0.7,Mindfulness,25,18,🧘
Walking outdoors,5.2,4.1,1.2,2.1,0.6,Movement,35,42,🚶
Listening to music,5.1,3.8,1.3,2.0,0.9,Leisure,45,55,🎵
Exercise/sports,5.0,4.8,1.8,3.8,0.4,Movement,52,28,🏃
Talking with friends,5.5,5.1,1.5,2.0,0.6,Connection,42,38,💬
Helping someone,5.3,6.3,1.6,2.5,0.5,Connection,30,22,🤝
Spending time in nature,5.6,5.2,0.8,1.9,0.4,Mindfulness,55,15,🌳
Cooking a meal,4.5,4.2,2.0,2.8,0.7,Rituals,45,62,🍳
Eating with family,5.4,5.5,1.3,2.2,0.5,Connection,38,48,🍽️
Reading for pleasure,4.9,4.5,1.0,2.5,0.7,Leisure,40,25,📖
Gardening,5.1,4.8,0.9,2.8,0.3,Mindfulness,42,12,🌱
Watching TV/streaming,4.0,2.5,1.5,3.2,1.2,Leisure,120,72,📺
Social media browsing,3.2,1.8,2.5,2.8,1.5,Digital,45,68,📱
Working (main job),3.5,4.2,3.8,3.5,1.2,Work,480,58,💼
Commuting,2.8,1.5,3.2,3.5,1.4,Work,52,45,🚗
Housework/chores,3.0,3.5,2.5,3.8,1.0,Routine,65,72,🧹
Sleeping/resting,4.2,2.8,0.8,1.2,0.9,Rest,480,100,😴
Shopping,3.8,2.8,2.2,2.9,0.9,Routine,42,35,🛒
Volunteering,5.2,6.4,1.4,2.5,0.4,Connection,95,8,❤️
Playing a musical instrument,5.4,5.5,1.2,2.0,0.4,Leisure,35,5,🎸
Pet care/playing with pets,5.3,4.5,1.0,1.8,0.4,Connection,28,35,🐕
Singing/dancing,5.6,4.8,1.0,2.5,0.3,Movement,20,12,💃
Creating art/crafts,5.1,5.2,1.3,2.2,0.5,Leisure,55,8,🎨
Writing/journaling,4.6,5.5,1.8,2.3,1.1,Mindfulness,25,10,✍️
Taking a bath/shower,4.7,2.8,1.0,2.0,0.6,Rituals,18,95,🚿
Waiting/queueing,2.2,1.0,3.5,3.8,1.8,Routine,22,42,⏳
Attending religious service,5.0,6.2,1.0,1.8,0.5,Mindfulness,65,12,⛪
Video calling family,5.0,5.0,1.5,2.2,0.8,Connection,30,25,📹
